Time (seconds),strength
4.39,1023
4.49,955
4.59,1127
4.69,947
4.79,1009
4.89,1177
4.99,1145
5.09,924
5.19,1028
5.29,888
5.39,984
5.49,1057
5.59,1139
5.69,1313
5.79,649
5.89,957
5.99,893
6.09,1098
6.19,1021
6.29,1100
6.39,878
6.49,1090
6.59,883
6.69,986
6.79,1068
6.89,1136
6.99,1071
7.09,960
7.19,1028
7.29,954
7.39,976
7.49,1127
7.59,1112
7.69,1056
7.79,1006
7.89,924
7.99,955
8.09,1004
8.19,1129
8.29,1069
8.39,905
8.49,1015
8.59,1006
8.69,1003
8.79,1036
8.89,1057
8.99,1017
9.09,1187
9.19,908
9.29,1015
9.39,987
9.49,1045
9.59,1103
9.69,1180
9.79,854
9.89,1187
9.99,944
10.09,1000
10.19,1072
10.29,1152
10.39,1199
10.49,1083
10.59,848
10.69,1007
10.79,1004
10.89,1089
10.99,1025
11.09,1096
11.19,905
11.29,940
11.39,1089
11.49,1050
11.59,1126
11.69,1051
11.79,890
11.89,1019
11.99,1074
12.09,1181
12.19,722
12.29,1019
12.39,832
12.49,1013
12.59,1187
12.69,1077
12.79,934
12.89,855
12.99,980
13.09,1001
13.19,917
13.29,1022
13.39,1008
13.49,760
13.59,1076
